GRANTEE,OWNER,TABLE_NAME,GRANTOR,PRIVILEGE,GRANTABLE,HIERARCHY,COMMON,TYPE
ASTRADER,ERWADM,FULFILLMENT,ERWADM,SELECT,NO,NO,NO,TABLE
ASTRADER,ERWADM,MEMBER,ERWADM,SELECT,NO,NO,NO,TABLE
ASTRADER,ERWADM,MEMBER_EXT,ERWADM,SELECT,NO,NO,NO,TABLE
ASTRADER,ERWADM,MEMBER_PROPERTY,ERWADM,SELECT,NO,NO,NO,TABLE
ASTRADER,ERWADM,SOURCED_NEW_MEMBER,ERWADM,SELECT,NO,NO,NO,TABLE
AURQUHART,ERWADM,MEMBER,ERWADM,SELECT,NO,NO,NO,TABLE
AURQUHART,ERWADM,MEMBER_EMAIL,ERWADM,SELECT,NO,NO,NO,TABLE
AURQUHART,ERWADM,MEMBER_EXT,ERWADM,SELECT,NO,NO,NO,TABLE
AURQUHART,ERWADM,MEMBER_FULL,ERWADM,SELECT,NO,NO,NO,TABLE
AURQUHART,ERWADM,MEMBER_HISTORY,ERWADM,SELECT,NO,NO,NO,TABLE
AURQUHART,ERWADM,MEMBER_INVITATION,ERWADM,SELECT,NO,NO,NO,TABLE
AURQUHART,ERWADM,MEMBER_INVITATION_PVW,ERWADM,SELECT,NO,NO,NO,VIEW
AURQUHART,ERWADM,MEMBER_PROPERTY,ERWADM,SELECT,NO,NO,NO,TABLE
AURQUHART,ERWADM,MEMBER_PROPERTY_DETAIL,ERWADM,SELECT,NO,NO,NO,TABLE
BSUTTON,ERWADM,FULFILLMENT,ERWADM,SELECT,NO,NO,NO,TABLE
BSUTTON,ERWADM,MEMBER_PROPERTY,ERWADM,SELECT,NO,NO,NO,TABLE
CCLEMENT,ERWADM,FULFILLMENT,ERWADM,SELECT,NO,NO,NO,TABLE
CCLEMENT,ERWADM,MEMBER,ERWADM,SELECT,NO,NO,NO,TABLE
CCLEMENT,ERWADM,MEMBER_PROPERTY,ERWADM,SELECT,NO,NO,NO,TABLE
CCLEMENT,ERWADM,SOURCED_NEW_MEMBER,ERWADM,SELECT,NO,NO,NO,TABLE
CFRIZZELL,ERWADM,FULFILLMENT,ERWADM,SELECT,NO,NO,NO,TABLE
CFRIZZELL,ERWADM,MEMBER,ERWADM,SELECT,NO,NO,NO,TABLE
CFRIZZELL,ERWADM,MEMBER_PROPERTY,ERWADM,SELECT,NO,NO,NO,TABLE
CFRIZZELL,ERWADM,SOURCED_NEW_MEMBER,ERWADM,SELECT,NO,NO,NO,TABLE
EMATTHEW,ERWADM,FULFILLMENT,ERWADM,SELECT,NO,NO,NO,TABLE
EMATTHEW,ERWADM,MEMBER,ERWADM,SELECT,NO,NO,NO,TABLE
EMATTHEW,ERWADM,MEMBER_EXT,ERWADM,SELECT,NO,NO,NO,TABLE
EMATTHEW,ERWADM,MEMBER_PROPERTY,ERWADM,SELECT,NO,NO,NO,TABLE
EMATTHEW,ERWADM,SOURCED_NEW_MEMBER,ERWADM,SELECT,NO,NO,NO,TABLE
MASMITH,ERWADM,FULFILLMENT,ERWADM,SELECT,NO,NO,NO,TABLE
MASMITH,ERWADM,MEMBER,ERWADM,SELECT,NO,NO,NO,TABLE
MASMITH,ERWADM,MEMBER_PROPERTY,ERWADM,SELECT,NO,NO,NO,TABLE
MASMITH,ERWADM,SOURCED_NEW_MEMBER,ERWADM,SELECT,NO,NO,NO,TABLE
MKIMERY,ERWADM,FULFILLMENT,ERWADM,SELECT,NO,NO,NO,TABLE
MKIMERY,ERWADM,MEMBER,ERWADM,SELECT,NO,NO,NO,TABLE
MKIMERY,ERWADM,MEMBER_PROPERTY,ERWADM,SELECT,NO,NO,NO,TABLE
MWESSALOWSKI,ERWADM,FULFILLMENT,ERWADM,SELECT,NO,NO,NO,TABLE
MWESSALOWSKI,ERWADM,MEMBER,ERWADM,SELECT,NO,NO,NO,TABLE
MWESSALOWSKI,ERWADM,MEMBER_EXT,ERWADM,SELECT,NO,NO,NO,TABLE
MWESSALOWSKI,ERWADM,MEMBER_PROPERTY,ERWADM,SELECT,NO,NO,NO,TABLE
MWESSALOWSKI,ERWADM,SOURCED_NEW_MEMBER,ERWADM,SELECT,NO,NO,NO,TABLE
RGUO,ERWADM,FULFILLMENT,ERWADM,SELECT,NO,NO,NO,TABLE
RGUO,ERWADM,MEMBER,ERWADM,SELECT,NO,NO,NO,TABLE
RGUO,ERWADM,MEMBER_EXT,ERWADM,SELECT,NO,NO,NO,TABLE
RGUO,ERWADM,MEMBER_PROPERTY,ERWADM,SELECT,NO,NO,NO,TABLE
RGUO,ERWADM,SOURCED_NEW_MEMBER,ERWADM,SELECT,NO,NO,NO,TABLE
RHARKEY,ERWADM,FULFILLMENT,ERWADM,SELECT,NO,NO,NO,TABLE
RHARKEY,ERWADM,MEMBER,ERWADM,SELECT,NO,NO,NO,TABLE
RHARKEY,ERWADM,MEMBER_PROPERTY,ERWADM,SELECT,NO,NO,NO,TABLE
RHARKEY,ERWADM,SOURCED_NEW_MEMBER,ERWADM,SELECT,NO,NO,NO,TABLE
RORWIG,ERWADM,FULFILLMENT,ERWADM,SELECT,NO,NO,NO,TABLE
RORWIG,ERWADM,MEMBER,ERWADM,SELECT,NO,NO,NO,TABLE
RORWIG,ERWADM,MEMBER_PROPERTY,ERWADM,SELECT,NO,NO,NO,TABLE
RORWIG,ERWADM,SOURCED_NEW_MEMBER,ERWADM,SELECT,NO,NO,NO,TABLE
